year,new_member_count,membership,accession_date,remaining_accession_year,year_length,accession_adjustment,membership_adjusted
1952,6.0,6.0,1952-07-23,162 days,366,0.4426229508196721,2.6557377049180326
1953,6.0,6.0,,,365,,6.0
1954,6.0,6.0,,,365,,6.0
1955,6.0,6.0,,,365,,6.0
1956,6.0,6.0,,,366,,6.0
1957,6.0,6.0,,,365,,6.0
1958,6.0,6.0,,,365,,6.0
1959,6.0,6.0,,,365,,6.0
1960,6.0,6.0,,,366,,6.0
1961,6.0,6.0,,,365,,6.0
1962,6.0,6.0,,,365,,6.0
1963,6.0,6.0,,,365,,6.0
1964,6.0,6.0,,,366,,6.0
1965,6.0,6.0,,,365,,6.0
1966,6.0,6.0,,,365,,6.0
1967,6.0,6.0,,,365,,6.0
1968,6.0,6.0,,,366,,6.0
1969,6.0,6.0,,,365,,6.0
1970,6.0,6.0,,,365,,6.0
1971,6.0,6.0,,,365,,6.0
1972,6.0,6.0,,,366,,6.0
1973,3.0,9.0,1973-01-01,365 days,365,1.0,9.0
1974,3.0,9.0,,,365,,9.0
1975,3.0,9.0,,,365,,9.0
1976,3.0,9.0,,,366,,9.0
1977,3.0,9.0,,,365,,9.0
1978,3.0,9.0,,,365,,9.0
1979,3.0,9.0,,,365,,9.0
1980,3.0,9.0,,,366,,9.0
1981,1.0,10.0,1981-01-01,365 days,365,1.0,10.0
1982,1.0,10.0,,,365,,10.0
1983,1.0,10.0,,,365,,10.0
1984,1.0,10.0,,,366,,10.0
1985,1.0,10.0,,,365,,10.0
1986,2.0,12.0,1986-01-01,365 days,365,1.0,12.0
1987,2.0,12.0,,,365,,12.0
1988,2.0,12.0,,,366,,12.0
1989,2.0,12.0,,,365,,12.0
1990,2.0,12.0,,,365,,12.0
1991,2.0,12.0,,,365,,12.0
1992,2.0,12.0,,,366,,12.0
1993,2.0,12.0,,,365,,12.0
1994,2.0,12.0,,,365,,12.0
1995,3.0,15.0,1995-01-01,365 days,365,1.0,15.0
1996,3.0,15.0,,,366,,15.0
1997,3.0,15.0,,,365,,15.0
1998,3.0,15.0,,,365,,15.0
1999,3.0,15.0,,,365,,15.0
2000,3.0,15.0,,,366,,15.0
2001,3.0,15.0,,,365,,15.0
2002,3.0,15.0,,,365,,15.0
2003,3.0,15.0,,,365,,15.0
2004,10.0,25.0,2004-05-01,245 days,366,0.6693989071038251,21.693989071038253
2005,10.0,25.0,,,365,,25.0
2006,10.0,25.0,,,365,,25.0
2007,2.0,27.0,2007-01-01,365 days,365,1.0,27.0
2008,2.0,27.0,,,366,,27.0
2009,2.0,27.0,,,365,,27.0
2010,2.0,27.0,,,365,,27.0
2011,2.0,27.0,,,365,,27.0
2012,2.0,27.0,,,366,,27.0
2013,1.0,28.0,2013-07-01,184 days,365,0.5041095890410959,27.504109589041096
2014,1.0,28.0,,,365,,28.0
2015,1.0,28.0,,,365,,28.0
2016,1.0,28.0,,,366,,28.0
2017,1.0,28.0,,,365,,28.0
2018,1.0,28.0,,,365,,28.0
2019,1.0,28.0,,,365,,28.0
2020,-1.0,28.0,2020-01-31,,366,0.9180327868852459,27.081967213114755
2021,-1.0,27.0,,,365,,27.0
